[ INFO ] [ main | 2025-08-15 00:33:14 ] Starting server on port 8080
[ DEBUG] [ main | 2025-08-15 00:33:14 ] Using SLF4J as the default logging framework
[ DEBUG] [ main | 2025-08-15 00:33:14 ] -Dio.netty.eventLoopThreads: 24
[ DEBUG] [ main | 2025-08-15 00:33:14 ] -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
[ DEBUG] [ main | 2025-08-15 00:33:14 ] -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
[ DEBUG] [ main | 2025-08-15 00:33:14 ] -Dio.netty.noKeySetOptimization: false
[ DEBUG] [ main | 2025-08-15 00:33:14 ] -Dio.netty.selectorAutoRebuildThreshold: 512
[ DEBUG] [ main | 2025-08-15 00:33:14 ] -Dio.netty.noUnsafe: false
[ DEBUG] [ main | 2025-08-15 00:33:14 ] Java version: 21
[ DEBUG] [ main | 2025-08-15 00:33:14 ] sun.misc.Unsafe.theUnsafe: available
[ DEBUG] [ main | 2025-08-15 00:33:14 ] sun.misc.Unsafe.copyMemory: available
[ DEBUG] [ main | 2025-08-15 00:33:14 ] java.nio.Buffer.address: available
[ DEBUG] [ main | 2025-08-15 00:33:14 ] direct buffer constructor: unavailable: java.nio.DirectByteBuffer.<init>(long,int)
[ DEBUG] [ main | 2025-08-15 00:33:14 ] java.nio.Bits.unaligned: available, true
[ DEBUG] [ main | 2025-08-15 00:33:14 ] jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$6 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @5c072e3f
[ DEBUG] [ main | 2025-08-15 00:33:14 ] java.nio.DirectByteBuffer.<init>(long, int): unavailable
[ DEBUG] [ main | 2025-08-15 00:33:14 ] sun.misc.Unsafe: available
[ DEBUG] [ main | 2025-08-15 00:33:14 ] maxDirectMemory: 8543797248 bytes (maybe)
[ DEBUG] [ main | 2025-08-15 00:33:14 ] -Dio.netty.tmpdir: C:\Users\admin\AppData\Local\Temp (java.io.tmpdir)
[ DEBUG] [ main | 2025-08-15 00:33:14 ] -Dio.netty.bitMode: 64 (sun.arch.data.model)
